method,method_display,run_idx,aug_seed,random_seed,num_aug_from_file,k_inferred,align_label_acc,n_samples,n_sources,yz_pass_rate,x_pass_rate,joint_pass_rate,yz_fail_rate,x_fail_rate,risk_direction_violation_rate,y_bad_rate,z_bad_rate,y_bad_low_rate,y_bad_high_rate,z_bad_low_rate,z_bad_high_rate,yz_violation_mean,yz_violation_median,x_violation_mean,x_violation_median,residual_cos_mean,residual_cos_median,origin_cos_mean,origin_cos_median,delta_y_mean,delta_y_median,delta_z_mean,delta_z_median,yz_utilization_mean,yz_utilization_median
EDA,EDA,,4994,4994,2,2,1.0,216,108,0.2731481481481481,0.0,0.0,0.7268518518518519,1.0,,0.4398148148148148,0.5601851851851852,0.2129629629629629,0.2268518518518518,0.3796296296296296,0.1805555555555555,1.6105247575931505,0.7986420252709208,3.452544894561445,3.521844732678441,0.6632025030837462,0.6724973285483078,0.967005195841954,0.97147637942547,0.0008417508417508,-0.0227272727272727,-0.0012931532174762,-0.0014113122597336,0.7392077699749099,0.7767122413585578
EDA,EDA,,3407,3407,2,2,1.0,216,108,0.3101851851851852,0.0046296296296296,0.0,0.6898148148148148,0.9953703703703703,,0.3935185185185185,0.5416666666666666,0.2083333333333333,0.1851851851851851,0.375,0.1666666666666666,1.467102412822772,0.7342322408731388,3.4268501416771886,3.519982811154124,0.6594048158854336,0.674529525629988,0.9666315514632744,0.9720121822096004,-0.0083122895622895,0.0,-0.0014399522548989,-0.0014585545286536,0.708451689078904,0.7196705333855088
EDA,EDA,,2024,2024,2,2,1.0,216,108,0.3101851851851852,0.0046296296296296,0.0,0.6898148148148148,0.9953703703703703,,0.375,0.5231481481481481,0.2037037037037037,0.1712962962962963,0.3657407407407407,0.1574074074074074,1.4549405181209432,0.7652504988743205,3.3992337619684654,3.474083636478899,0.6554373799090475,0.6699760879954086,0.9667591853212444,0.969682480127386,-0.0151515151515151,0.0,-0.0016780883867155,-0.0016992241144179,0.6839139028198105,0.6893396392226145
EDA,EDA,,1077,1077,2,2,1.0,216,108,0.2916666666666667,0.0,0.0,0.7083333333333334,1.0,,0.4305555555555556,0.5185185185185185,0.2268518518518518,0.2037037037037037,0.3518518518518518,0.1666666666666666,1.63655159137611,0.5738117721120553,3.5089430261721337,3.5617964285303265,0.6724564282275928,0.6889845016891055,0.9680141156339008,0.9731398603005978,-0.0167297979797979,0.0,-0.0016483363492793,-0.0012817280367015,0.708015880436821,0.7154615608526111
ICL Rewrite,ICL Rewrite,5.0,9032,9032,2,2,1.0,216,108,0.1203703703703703,0.2916666666666667,0.0231481481481481,0.8796296296296297,0.7083333333333334,,0.5740740740740741,0.6898148148148148,0.1898148148148148,0.3842592592592592,0.0925925925925925,0.5972222222222222,2.342411068122221,2.0148686116272443,1.1682655042990215,0.7614043950422232,0.2880540200676552,0.265624148216521,0.92576245073082,0.9296946883730274,0.075547138047138,0.0681818181818182,0.0044159095829214,0.0042860109824686,0.8025483304892616,0.8649478449674154
ICL Rewrite,ICL Rewrite,3.0,4951,4951,2,2,1.0,216,108,0.1296296296296296,0.3287037037037037,0.0277777777777777,0.8703703703703703,0.6712962962962963,,0.5462962962962963,0.7083333333333334,0.1851851851851851,0.3611111111111111,0.1018518518518518,0.6064814814814815,2.0701193113690786,1.5310152458848765,1.1589375555206909,0.705686612439127,0.2835544556775048,0.2541637612083228,0.9269906577160858,0.930387348103347,0.0818602693602693,0.0681818181818181,0.0039863042679994,0.0039122402667998,0.7947741906899325,0.8613343354338905
ICL Rewrite,ICL Rewrite,2.0,3012,3012,2,2,1.0,216,108,0.1388888888888889,0.2824074074074074,0.0324074074074074,0.8611111111111112,0.7175925925925926,,0.5462962962962963,0.6574074074074074,0.1712962962962963,0.375,0.1018518518518518,0.5555555555555556,2.092143929314562,1.719332136002203,1.1453339915905938,0.6965989652987167,0.2855764680351206,0.2702770937621416,0.9267011539801382,0.9311083466090062,0.0811237373737373,0.0681818181818182,0.0038932567307104,0.0036640763282776,0.7938437566642015,0.8372453797382978
ICL Rewrite,ICL Rewrite,1.0,5942,5942,2,2,1.0,216,108,0.1435185185185185,0.2314814814814814,0.0231481481481481,0.8564814814814815,0.7685185185185185,,0.5092592592592593,0.7083333333333334,0.1435185185185185,0.3657407407407407,0.0648148148148148,0.6435185185185185,2.247315407522372,1.9174065948187888,1.1749131848691592,0.9013015344723826,0.2960564796242012,0.2967298575635348,0.9282160533786484,0.9339014509947664,0.0992213804713804,0.0909090909090909,0.0049063010309408,0.0048650354146957,0.7809308775289519,0.8372453797382975
ICL Rewrite,ICL Rewrite,4.0,2921,2921,2,2,1.0,216,108,0.1018518518518518,0.2222222222222222,0.0185185185185185,0.8981481481481481,0.7777777777777778,,0.5324074074074074,0.7407407407407407,0.1435185185185185,0.3888888888888889,0.074074074074074,0.6666666666666666,2.1750632986971983,1.7289511861045854,1.325754338841283,1.0919604786181825,0.3137536040723891,0.3159469957670135,0.9307098815592882,0.9358587760108954,0.0983796296296296,0.0909090909090908,0.0047158380815138,0.0048895017243921,0.811246891120536,0.8613343354338906
ICL Imitate,ICL Imitation,1.0,5942,5942,2,2,1.0,216,108,0.1759259259259259,0.2037037037037037,0.0185185185185185,0.8240740740740741,0.7962962962962963,,0.5370370370370371,0.5925925925925926,0.2175925925925926,0.3194444444444444,0.162037037037037,0.4305555555555556,1.857843725671284,1.204721821408914,1.446025239923035,1.1098964092754118,0.3413973297925449,0.3206786254445745,0.9367655332307896,0.943415362083328,0.0405092592592592,0.0227272727272728,0.0023857716285554,0.0017366260290146,0.7643907566285918,0.7890674683471122
